CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_Book,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
819700533,50,M,0,"High School",Single,"$120K +",45,14938,2303,949,27,0.154
778286433,67,M,0,Graduate,Married,"$40K - $60K",56,5876,1297,2133,55,0.221
716139933,54,M,0,"High School",Married,"$80K - $120K",36,16286,1710,2552,49,0.105
719091333,52,M,0,Uneducated,Married,"$60K - $80K",36,22720,793,1102,27,0.035
778176108,61,M,0,"High School",Single,"$60K - $80K",51,5504,1412,1290,38,0.257
796532958,59,F,0,Unknown,Married,"Less than $40K",53,5512,1124,1975,49,0.204
716149383,62,M,0,Graduate,Married,"$60K - $80K",36,3674,895,1703,48,0.244
712880283,31,M,0,Uneducated,Married,"$40K - $60K",22,4048,1113,1757,45,0.275
712006308,45,F,0,College,Divorced,"Less than $40K",35,5923,1686,1236,35,0.285
709671708,61,M,0,Uneducated,Single,"$80K - $120K",36,19354,984,1207,32,0.051
789291633,62,M,0,Graduate,Married,"$60K - $80K",51,5450,967,1526,45,0.177
710997183,46,M,0,Unknown,Married,"$60K - $80K",36,34516,1092,1409,39,0.032
710492733,29,M,0,Post-Graduate,Single,"$40K - $60K",19,13632,1482,2168,42,0.109
710947683,64,F,0,Graduate,Married,"Less than $40K",51,4920,1142,1420,31,0.232
720840108,44,M,0,Uneducated,Married,"Less than $40K",24,8837,2103,3753,60,0.238
714472608,59,M,0,College,Married,"Less than $40K",49,4250,1095,1174,27,0.258
713008308,59,F,0,Unknown,Married,"Less than $40K",47,7692,1678,1861,42,0.218
713378133,54,F,0,Post-Graduate,Single,"Less than $40K",39,11696,2288,2445,60,0.196
720998358,52,M,0,"High School",Married,"$120K +",41,34516,1043,1489,38,0.03
715232058,61,M,0,Post-Graduate,Married,"$40K - $60K",53,5561,1434,1820,42,0.258
714131058,30,M,0,Graduate,Unknown,"$60K - $80K",36,18513,2517,1567,33,0.136
721036233,61,M,0,"High School",Married,"$60K - $80K",36,9172,1567,1836,42,0.171
715374558,26,M,0,College,Divorced,"Less than $40K",36,4150,456,2483,74,0.11
712821333,60,M,0,Uneducated,Married,"$60K - $80K",47,9452,2517,1825,50,0.266
720953658,59,F,0,Graduate,Married,"Less than $40K",36,5688,914,1824,53,0.161
712207683,38,M,0,Unknown,Divorced,"Less than $40K",36,5155,684,1555,37,0.133
789326808,26,M,0,College,Single,"$60K - $80K",15,8267,1720,1917,37,0.208
778346283,53,M,0,Graduate,Married,"$120K +",33,21006,1905,1856,57,0.091
713757633,65,F,0,Unknown,Married,"$40K - $60K",56,7427,1303,1596,42,0.175
821872758,65,M,0,"High School",Single,"Less than $40K",56,12609,2517,2121,49,0.2
794113758,60,M,0,"High School",Married,"$60K - $80K",54,9592,1968,1821,55,0.205
822130683,61,M,0,Graduate,Married,"$80K - $120K",56,8420,1389,1114,34,0.165
721217283,27,M,0,Graduate,Single,"$120K +",17,8713,1354,2094,36,0.155
815484783,57,M,0,Uneducated,Single,"$60K - $80K",42,8377,1211,1797,44,0.145
720254883,65,F,0,"High School",Married,"$40K - $60K",46,5877,1697,2494,58,0.289
787643658,59,M,0,Graduate,Married,"$60K - $80K",53,12554,2169,1422,30,0.173
778401033,32,M,0,"High School",Married,"$60K - $80K",13,14308,1889,1659,39,0.132
802087683,32,M,0,Post-Graduate,Married,"$60K - $80K",26,5478,1491,2456,55,0.272
710391258,27,M,0,Graduate,Married,"$40K - $60K",36,11473,829,2147,41,0.072
711329658,30,M,0,"High School",Married,"$120K +",13,9007,1965,1925,42,0.218
717599283,57,M,0,Doctorate,Married,"$60K - $80K",36,5335,1206,1844,49,0.226
712730583,29,M,0,Uneducated,Married,"$60K - $80K",20,8592,1201,1842,50,0.14
713241033,34,M,0,Graduate,Married,"$60K - $80K",26,5175,977,2405,49,0.189
720241758,55,M,0,Doctorate,Married,"$80K - $120K",36,8276,1671,1409,25,0.202
812788233,31,F,0,Graduate,Married,"Less than $40K",21,6315,1305,2205,43,0.207
802464033,65,F,0,Graduate,Married,"Less than $40K",56,4460,1262,1877,41,0.283
710594358,28,F,0,Unknown,Single,"Less than $40K",36,14910,873,2560,72,0.059
714832383,35,M,0,"High School",Single,"$80K - $120K",29,34516,1965,2949,70,0.057
720904233,53,M,0,Graduate,Married,"$80K - $120K",41,16033,560,1158,31,0.035
721344858,26,M,0,Uneducated,Single,"Less than $40K",13,2237,451,2192,36,0.202
711782733,55,M,0,Graduate,Married,"$40K - $60K",36,3097,827,1390,24,0.267
714516783,54,F,0,Graduate,Divorced,"Less than $40K",36,12547,1378,3360,56,0.11
815104608,28,F,0,Graduate,Divorced,"Less than $40K",23,3818,584,2947,87,0.153
712204308,33,M,0,Unknown,Single,"$40K - $60K",36,10023,504,2878,65,0.05
718181433,65,F,0,Uneducated,Single,"Less than $40K",56,8705,1453,2688,88,0.167
813200058,63,M,0,Graduate,Married,"$40K - $60K",56,6500,1786,1497,27,0.275
768655158,29,M,0,Unknown,Married,"$60K - $80K",23,6224,1092,2222,39,0.175
757753083,44,F,0,Graduate,Married,"Less than $40K",36,10110,1229,4063,74,0.122
781089708,30,M,0,Graduate,Divorced,"$80K - $120K",23,26783,1285,2495,46,0.048
719207733,61,F,0,"High School",Married,"Less than $40K",53,3396,802,1418,36,0.236
715533108,31,F,0,Uneducated,Single,"Less than $40K",20,4712,955,2568,62,0.203
716610558,65,F,0,"High School",Single,"$40K - $60K",36,10962,1559,2724,71,0.142
772303458,62,F,0,Doctorate,Married,"$40K - $60K",51,3377,948,1407,44,0.281
814497483,60,M,0,Uneducated,Married,"$60K - $80K",55,6479,1393,1618,47,0.215
778973658,55,M,0,Doctorate,Married,"$60K - $80K",36,4980,906,2273,66,0.182
714030183,59,M,0,Graduate,Single,"$80K - $120K",36,34516,1494,3259,65,0.043
778724058,63,M,0,Doctorate,Single,"$40K - $60K",49,5905,726,3982,65,0.123
788783133,58,F,0,Post-Graduate,Married,"Less than $40K",39,6679,1207,1649,29,0.181
720113433,61,M,0,Unknown,Single,"$60K - $80K",48,20803,1446,2073,43,0.07
771649083,63,M,0,"High School",Married,"$80K - $120K",51,10257,1021,1508,30,0.1
718368333,26,M,0,College,Unknown,"Less than $40K",13,5713,789,3323,61,0.138
719525358,52,M,0,Graduate,Single,"$80K - $120K",43,8133,1942,3310,76,0.239
789012633,30,F,0,Graduate,Single,"Less than $40K",17,4868,1090,2907,69,0.224
822138333,61,F,0,Graduate,Single,"$40K - $60K",56,7118,813,3964,66,0.114
713766183,49,M,0,Uneducated,Single,"$80K - $120K",36,16156,2517,4160,81,0.156
711076533,65,M,0,College,Divorced,"Less than $40K",42,9706,1968,3435,58,0.203
716089983,31,M,0,Graduate,Single,"$40K - $60K",24,12050,1732,2015,46,0.144
717132633,62,M,0,Uneducated,Single,"$40K - $60K",50,7348,1466,3066,61,0.2
714954033,29,F,0,Post-Graduate,Single,"Less than $40K",36,5076,1223,2675,57,0.241
717271983,60,M,0,College,Single,"$80K - $120K",53,34516,1388,3261,64,0.04
716037708,50,M,0,Uneducated,Divorced,"$60K - $80K",39,9474,1021,3240,54,0.108
715746633,64,F,0,Graduate,Single,"Less than $40K",54,5577,689,4256,70,0.124
710014683,31,F,0,Graduate,Single,"Less than $40K",20,3480,724,2807,65,0.208
719562108,28,F,0,Uneducated,Single,"Less than $40K",20,12793,1650,2671,67,0.129
715391433,38,M,0,Graduate,Married,"$60K - $80K",33,11741,1560,2143,41,0.133
718474683,36,M,0,"High School",Married,"$120K +",24,10097,2139,3092,67,0.212
718354683,59,F,0,Graduate,Single,"$40K - $60K",45,21358,1225,3646,77,0.057
772565883,41,M,0,"High School",Single,"$80K - $120K",31,33472,2517,4719,70,0.075
716660583,45,M,0,Graduate,Single,"$40K - $60K",37,10271,1746,3696,72,0.17
718307433,50,F,0,Graduate,Single,"Less than $40K",36,7238,2111,2025,36,0.292
779995833,49,M,0,Unknown,Married,"$60K - $80K",39,10177,1748,3557,64,0.172
711191808,39,M,0,Graduate,Single,"$80K - $120K",32,34516,1793,4256,82,0.052
788768883,54,F,0,Unknown,Single,"$40K - $60K",35,9231,1642,4676,68,0.178
712852233,64,F,0,Graduate,Single,"Less than $40K",53,6663,765,4583,78,0.115
716944983,61,M,0,Uneducated,Married,"$120K +",36,24172,2517,1658,27,0.104
719523108,61,M,0,Post-Graduate,Single,"$60K - $80K",36,11236,576,4253,80,0.051
710713608,60,M,0,Uneducated,Single,"$80K - $120K",36,24528,2396,4070,67,0.098
711238908,65,F,0,Uneducated,Single,"Less than $40K",54,7699,1758,5103,62,0.228
721513833,35,M,0,"High School",Divorced,"$40K - $60K",36,5619,1504,2808,72,0.268
720439533,64,F,0,Uneducated,Single,"Less than $40K",36,7112,1358,4951,73,0.191
716071233,42,M,0,"High School",Unknown,"$80K - $120K",35,34516,1934,4613,73,0.056
719739108,62,F,0,Graduate,Divorced,"$40K - $60K",50,11352,2517,4021,56,0.222
721202058,62,F,0,"High School",Unknown,"$40K - $60K",49,4409,785,4160,61,0.178
717400533,54,F,0,"High School",Married,"Less than $40K",45,2704,789,4839,92,0.292
785055108,52,M,0,Graduate,Single,"$60K - $80K",46,10817,1142,3889,60,0.106
711993258,50,F,0,"High School",Single,"$40K - $60K",39,8264,2057,4240,73,0.249
828288333,50,M,0,Uneducated,Married,"$60K - $80K",46,3640,659,3756,70,0.181
780984408,65,F,0,Unknown,Divorced,"Less than $40K",50,7487,1953,4070,63,0.261
715762083,46,M,0,Uneducated,Single,"$60K - $80K",36,30501,2030,2525,45,0.067
712555233,59,F,0,Graduate,Single,"$40K - $60K",48,4205,710,2023,38,0.169
793717608,39,M,0,Doctorate,Single,"$60K - $80K",33,10452,1120,3592,79,0.107
710335983,57,F,0,"High School",Divorced,"Less than $40K",36,3532,869,4297,64,0.246
768661758,53,M,0,Uneducated,Divorced,"$120K +",47,26129,1752,4919,75,0.067
811463283,54,M,0,Graduate,Single,"$80K - $120K",42,22437,1389,3283,50,0.062
712309758,65,M,0,Graduate,Single,"$40K - $60K",49,13921,1201,4351,75,0.086
716841783,51,M,0,Graduate,Married,"$120K +",36,18733,1292,5080,85,0.069
714393708,54,F,0,College,Married,"$40K - $60K",46,2254,533,4913,84,0.236
718924983,59,M,0,Uneducated,Single,"$60K - $80K",48,4906,1302,4833,80,0.265
714400308,60,F,0,Uneducated,Single,"Less than $40K",49,11060,1647,4545,83,0.149
716013858,53,M,0,Graduate,Single,"$80K - $120K",34,20231,1434,5002,78,0.071
709873683,60,M,0,Doctorate,Unknown,"$40K - $60K",53,16541,1428,4352,82,0.086
717017808,62,M,0,Uneducated,Single,"$40K - $60K",52,9065,641,4693,83,0.071
710482533,26,M,0,Unknown,Married,"$120K +",17,30928,2005,3863,72,0.065
717965808,65,M,0,Unknown,Single,"$40K - $60K",54,9383,829,5783,73,0.088
708252108,64,M,0,College,Single,"$40K - $60K",53,7362,1907,4065,65,0.259
789097833,39,F,0,"High School",Single,"Less than $40K",27,3927,720,4230,93,0.183
783500283,62,M,0,Graduate,Unknown,"$80K - $120K",56,29100,1228,5041,74,0.042
790006383,45,M,0,Unknown,Married,"$80K - $120K",37,9654,2035,4221,67,0.211
709310433,65,F,0,Unknown,Single,"Less than $40K",56,5441,812,4480,76,0.149
710903358,65,F,0,Unknown,Single,"Less than $40K",55,6352,1386,3709,77,0.218
719504433,63,M,0,Unknown,Single,"$40K - $60K",54,18064,1695,3434,71,0.094
714046608,49,M,0,Doctorate,Married,"$60K - $80K",39,19719,1395,3572,73,0.071
772569033,44,M,0,"High School",Divorced,"$80K - $120K",34,5293,1236,4572,90,0.234
718397658,60,F,0,Unknown,Single,"$40K - $60K",36,4115,1231,3627,61,0.299
714855108,60,F,0,"High School",Married,"Less than $40K",50,3466,973,4073,69,0.281
779885358,51,M,0,College,Married,"$120K +",35,34516,2332,4587,82,0.068
713254983,62,M,0,Uneducated,Single,"$60K - $80K",50,14314,656,4355,70,0.046
779508333,63,M,0,Unknown,Unknown,"$60K - $80K",46,23925,1494,3677,55,0.062
713029683,64,M,0,Graduate,Single,"Less than $40K",36,1873,468,4738,82,0.25
709077933,26,F,0,"High School",Married,"Less than $40K",18,5422,682,4460,62,0.126
716581983,56,F,0,College,Married,"$40K - $60K",36,4384,929,4792,91,0.212
710978058,50,F,0,Uneducated,Single,"$40K - $60K",41,7507,1697,4651,71,0.226
807173358,56,F,0,Post-Graduate,Married,"Less than $40K",51,3617,878,5416,76,0.243
801786483,51,M,0,"High School",Single,"$80K - $120K",45,10648,2517,4930,89,0.236
714418158,63,F,0,Uneducated,Single,"Less than $40K",56,7264,851,3527,69,0.117
717596883,58,F,0,Graduate,Single,"$40K - $60K",39,5530,1233,5270,78,0.223
712559058,54,M,0,"High School",Single,"$80K - $120K",45,20882,1525,4765,76,0.073
720729108,32,F,0,Unknown,Single,"Less than $40K",17,4445,1080,5373,87,0.243
758168133,50,F,0,"High School",Married,"$40K - $60K",43,4154,1060,4325,86,0.255
720496158,53,M,0,Unknown,Single,"$60K - $80K",42,13409,1168,4031,82,0.087
714042108,59,M,0,Uneducated,Single,"$40K - $60K",36,11000,1013,7302,86,0.092
714754533,51,M,0,Doctorate,Single,"$120K +",44,34516,1925,8012,87,0.056
710821833,65,M,1,Unknown,Married,"$40K - $60K",54,9095,1587,1314,26,0.174
806165208,47,M,1,Doctorate,Divorced,"$60K - $80K",42,20979,1800,1178,27,0.086
720466383,59,M,1,"High School",Unknown,"$40K - $60K",46,14784,1374,1197,23,0.093
804424383,63,M,1,Unknown,Married,"$60K - $80K",56,10215,1010,1904,40,0.099
715190283,57,F,1,Graduate,Unknown,"$40K - $60K",49,3672,886,1464,28,0.241
773146383,50,F,1,College,Single,"$40K - $60K",43,17304,2517,1756,33,0.145
771490833,52,M,1,College,Single,"$80K - $120K",40,4745,1227,1140,40,0.259
711481533,39,M,1,"High School",Divorced,"$60K - $80K",33,5926,1251,1316,28,0.211
789973308,44,M,1,College,Single,"$60K - $80K",35,24312,1932,1341,24,0.079
715156383,44,M,1,Unknown,Unknown,"$120K +",36,34516,1533,1603,29,0.044
794543958,53,M,1,Graduate,Divorced,"$80K - $120K",35,34516,1219,1590,27,0.035
717929133,44,M,1,Uneducated,Married,"$60K - $80K",36,14450,2440,1235,30,0.169
714798783,49,M,1,Graduate,Single,"$80K - $120K",36,18886,895,1235,18,0.047
721074183,49,M,1,Doctorate,Married,"$60K - $80K",36,24159,1196,1111,24,0.05
714877233,53,M,1,"High School",Married,"$80K - $120K",47,12262,1836,1659,38,0.15
710806083,50,F,1,Uneducated,Unknown,"Less than $40K",36,11888,2090,1137,30,0.176
789968058,51,M,1,Unknown,Single,"$120K +",42,9036,2327,1131,18,0.258
718744008,59,F,1,Graduate,Single,"Less than $40K",36,6335,1128,1217,20,0.178
712454058,49,M,1,Doctorate,Married,"$120K +",38,9364,618,1099,27,0.066
713187033,46,M,1,Uneducated,Married,"$60K - $80K",36,20459,2071,1767,38,0.101
714141108,52,F,1,"High School",Married,"Less than $40K",45,6703,893,1388,28,0.133
710829108,59,F,1,Uneducated,Married,"$40K - $60K",36,3356,985,999,28,0.294
780376683,57,M,1,Graduate,Married,"$80K - $120K",47,14612,1976,1827,24,0.135
718030083,59,M,1,College,Married,"$60K - $80K",36,7871,1687,1428,22,0.214
711441333,43,F,1,"High School",Divorced,"Less than $40K",35,10514,1580,1229,27,0.15
779656908,40,M,1,Graduate,Married,"$40K - $60K",23,6990,1378,1479,29,0.197
798983508,43,M,1,Graduate,Single,"$80K - $120K",37,34516,1440,1575,34,0.042
720779733,56,M,1,Uneducated,Married,"$120K +",36,6041,1355,1747,49,0.224
788853258,41,M,1,Uneducated,Married,"$60K - $80K",25,7984,1503,1734,39,0.188
714819183,63,M,1,Uneducated,Married,"$80K - $120K",36,24571,1955,1746,28,0.08
715585158,58,M,1,Graduate,Married,"$60K - $80K",46,10021,1617,1275,25,0.161
788780958,46,M,1,Uneducated,Unknown,"$40K - $60K",27,12781,1253,1073,21,0.098
717392358,60,M,1,Graduate,Married,"$80K - $120K",50,23412,1078,1786,50,0.046
803366358,38,M,1,Unknown,Single,"$60K - $80K",29,14596,2192,1300,25,0.15
708398283,37,F,1,Graduate,Married,"$40K - $60K",29,4394,885,1377,32,0.201
709110633,41,M,1,Graduate,Single,"$80K - $120K",29,21684,1748,1329,24,0.081
711195558,59,M,1,College,Single,"$40K - $60K",48,7251,1603,1300,36,0.221
714893733,55,M,1,"High School",Married,"$80K - $120K",45,16794,809,1917,33,0.048
767036433,56,F,1,Graduate,Married,"Less than $40K",49,5097,1152,2052,45,0.226
721232058,49,M,1,Graduate,Unknown,"$40K - $60K",41,20231,977,1215,36,0.048
719229708,41,F,1,"High School",Single,"$40K - $60K",31,4969,838,1489,32,0.169
716966808,47,M,1,Graduate,Married,"$80K - $120K",37,11722,1667,1497,35,0.142
778686408,48,M,1,College,Married,"$60K - $80K",29,19324,1040,1744,50,0.054
715416633,54,M,1,Unknown,Married,"$80K - $120K",36,6175,960,1847,59,0.155
717956283,57,F,1,Graduate,Single,"$40K - $60K",48,10953,1945,1277,29,0.178
711948333,42,M,1,Uneducated,Married,"$80K - $120K",36,9247,710,1190,30,0.077
814852533,50,M,1,Graduate,Married,"$80K - $120K",45,16813,1185,1482,46,0.07
712370208,48,M,1,Uneducated,Unknown,"$60K - $80K",35,17131,1213,1371,37,0.071
710280558,51,M,1,Graduate,Single,"$60K - $80K",39,8796,2517,1195,18,0.286
780106908,53,M,1,"High School",Single,"$80K - $120K",38,8154,996,1379,26,0.122
714888633,50,M,1,Graduate,Married,"$80K - $120K",42,4051,1183,1837,57,0.292
720310458,46,M,1,Unknown,Single,"$120K +",32,11840,1295,1560,49,0.109
817663908,60,F,1,Graduate,Married,"$40K - $60K",42,5903,1335,1137,27,0.226
778461408,38,M,1,"High School",Married,"$80K - $120K",23,22149,987,2409,36,0.045
779557533,54,M,1,Post-Graduate,Single,"$80K - $120K",40,10260,942,1566,50,0.092
719459358,52,M,1,Doctorate,Married,"$120K +",41,33864,989,1751,48,0.029
717321783,50,M,1,Uneducated,Single,"$60K - $80K",45,10344,1274,1617,47,0.123
712881483,55,M,1,Post-Graduate,Married,"$80K - $120K",45,9959,1890,2041,45,0.19
717090183,60,M,1,Doctorate,Married,"$120K +",50,21697,2144,2117,48,0.099
721433283,39,F,1,"High School",Single,"$40K - $60K",20,9956,1117,1447,39,0.112
711748983,30,M,1,"High School",Married,"$60K - $80K",17,7906,1631,1946,45,0.206
721301733,53,M,1,Graduate,Married,"$80K - $120K",38,22140,733,1580,45,0.033
717707133,32,M,1,Unknown,Single,"$40K - $60K",24,10060,2322,2184,63,0.231
718909158,38,M,1,College,Married,"Less than $40K",25,5559,658,1793,37,0.118
714306258,56,M,1,College,Married,"$60K - $80K",46,10117,2242,1509,44,0.222
718923858,42,M,1,College,Married,"$60K - $80K",29,26750,1204,1131,29,0.045
713743158,47,M,1,Graduate,Married,"$60K - $80K",36,19063,1714,1270,21,0.09
715901508,35,M,1,"High School",Married,"$80K - $120K",25,23991,2307,1843,43,0.096
720147633,61,M,1,Unknown,Single,"$40K - $60K",47,11915,1631,1956,63,0.137
779338683,62,M,1,Graduate,Married,"$60K - $80K",44,14825,962,1904,49,0.065
713854608,62,M,1,Uneducated,Married,"$60K - $80K",36,9521,1669,2444,63,0.175
772375533,30,M,1,Graduate,Married,"$80K - $120K",19,9959,2377,1560,39,0.239
711878733,60,M,1,Uneducated,Married,"$60K - $80K",48,10264,2073,1685,45,0.202
788814783,39,M,1,Uneducated,Single,"$60K - $80K",22,9204,845,1820,58,0.092
709942383,34,M,1,Graduate,Married,"$80K - $120K",36,6313,782,1703,34,0.124
717561108,52,M,1,Graduate,Married,"$80K - $120K",36,34516,549,1629,32,0.016
771237933,47,M,1,Uneducated,Unknown,"$80K - $120K",34,20620,1085,1477,23,0.053
710789058,55,M,1,Graduate,Single,"$120K +",42,34516,1478,1308,41,0.043
709380333,57,M,1,Uneducated,Married,"$120K +",36,24545,1735,1671,45,0.071
714661233,39,M,1,Graduate,Single,"$120K +",24,10074,2517,1729,52,0.25
772674933,51,M,1,Uneducated,Married,"$80K - $120K",41,5638,808,2036,50,0.143
712003083,55,M,1,Graduate,Married,"$80K - $120K",36,34516,2102,1612,33,0.061
754282908,50,F,1,Post-Graduate,Married,"Less than $40K",43,3368,844,2022,59,0.251
720848733,38,M,1,"High School",Married,"$80K - $120K",24,13363,1230,1815,33,0.092
779707308,35,F,1,Graduate,Married,"Less than $40K",18,7583,1619,2229,53,0.214
788826408,33,M,1,Uneducated,Married,"$120K +",16,10705,1352,2434,58,0.126
715443708,53,M,1,Uneducated,Married,"$120K +",45,9343,1286,1385,31,0.138
780581508,58,F,1,Doctorate,Single,"$40K - $60K",47,16677,1590,1410,37,0.095
778782858,60,M,1,Graduate,Single,"Less than $40K",48,3980,930,4449,82,0.234
773288958,38,M,1,Graduate,Married,"$60K - $80K",31,7475,1473,1592,30,0.197
718561458,54,M,1,"High School",Married,"$60K - $80K",36,20050,1225,1306,26,0.061
719469333,33,F,1,"High School",Single,"Less than $40K",25,6193,695,2456,69,0.112
715079208,54,M,1,College,Married,"$80K - $120K",42,9642,2517,1401,35,0.261
709579383,58,M,1,Uneducated,Married,"$80K - $120K",50,6978,1148,1362,26,0.165
713908683,51,M,1,Unknown,Single,"$80K - $120K",41,18749,1314,1381,33,0.07
720445533,60,F,1,College,Married,"Less than $40K",53,3346,922,1276,21,0.276
798158808,53,F,1,College,Single,"$40K - $60K",47,6605,1479,2017,47,0.224
771653583,58,M,1,"High School",Married,"$60K - $80K",46,4188,1147,1276,25,0.274
712607583,56,M,1,College,Divorced,"$80K - $120K",36,34516,1477,2395,50,0.043
827631483,57,M,1,"High School",Married,"$80K - $120K",53,25058,1710,2053,55,0.068
786557358,44,F,1,Unknown,Married,"Less than $40K",38,3242,799,1424,37,0.246
768460908,59,M,1,Graduate,Single,"$40K - $60K",53,6035,1392,1551,32,0.231
789314133,37,M,1,"High School",Married,"$60K - $80K",27,10320,1799,1754,45,0.174
720747633,32,M,1,Unknown,Married,"$40K - $60K",36,8998,1471,1931,48,0.163
720521808,38,M,1,Graduate,Single,"$80K - $120K",19,25662,1515,1484,36,0.059
713371233,43,F,1,Graduate,Married,"Less than $40K",31,11583,631,3320,55,0.054
758408883,37,F,1,Graduate,Unknown,"$40K - $60K",30,13355,1631,1921,37,0.122
719873808,34,M,1,College,Married,"$60K - $80K",23,5510,1604,1995,53,0.291
718465458,49,M,1,Unknown,Single,"$80K - $120K",31,5898,1348,1002,21,0.229
